Time	cb	gl	xy
4.770000000000000000e+02	1.300859249043459620e+00	1.496032970507694593e+01	7.373683585977736321e+00
4.800000000000000000e+02	1.297317560165968997e+00	1.509350427995846999e+01	7.433912744530912775e+00
4.830000000000000000e+02	1.300691280678837547e+00	1.512188513714439608e+01	7.461528171662470399e+00
4.860000000000000000e+02	1.306062558140755669e+00	1.500059558041168195e+01	7.380860973325495067e+00
4.890000000000000000e+02	1.310687669729394100e+00	1.508188447899228635e+01	7.405581049518438874e+00
4.920000000000000000e+02	1.319911702963258771e+00	1.504080490777018397e+01	7.390578623487208176e+00
4.950000000000000000e+02	1.316454945959475653e+00	1.498614138062071000e+01	7.348319169361833048e+00
4.980000000000000000e+02	1.306725056874137758e+00	1.501441381761985028e+01	7.350790530789669930e+00
5.010000000000000000e+02	1.314103101762271519e+00	1.492150337124389381e+01	7.310647930599457389e+00
5.040000000000000000e+02	1.322776772864241002e+00	1.493421133716712568e+01	7.306351360509052206e+00
5.070000000000000000e+02	1.320540255482150593e+00	1.484019853944920087e+01	7.247497579002218693e+00
5.100000000000000000e+02	1.313892477793411784e+00	1.498884228390123496e+01	7.288025589669074655e+00
5.130000000000000000e+02	1.308146594669246099e+00	1.502383815982724080e+01	7.315456629817565393e+00
5.160000000000000000e+02	1.290028874289001815e+00	1.497325763322422532e+01	7.307083024048986353e+00
5.190000000000000000e+02	1.280740723107757884e+00	1.498596859699478756e+01	7.310538538723605484e+00
5.220000000000000000e+02	1.282034538697196524e+00	1.479599751016818487e+01	7.229708161651537068e+00
5.250000000000000000e+02	1.287739522304478745e+00	1.490001215231756504e+01	7.293202510803768135e+00
5.280000000000000000e+02	1.284142456178510638e+00	1.513885588446167496e+01	7.408270255652062986e+00
5.310000000000000000e+02	1.283231025124071056e+00	1.517194682697267893e+01	7.431210268935808827e+00
5.340000000000000000e+02	1.280942305591496577e+00	1.529011749017380950e+01	7.493086167829648758e+00
5.370000000000000000e+02	1.281535939387908440e+00	1.530830856840870347e+01	7.517265688260947876e+00
5.400000000000000000e+02	1.286727423885744459e+00	1.541912508710292684e+01	7.569046890949489459e+00
5.430000000000000000e+02	1.296849664864093699e+00	1.547011622183358526e+01	7.590233626541676770e+00
5.460000000000000000e+02	1.289437092815950203e+00	1.553073835904466016e+01	7.624019152476339656e+00
5.490000000000000000e+02	1.282370341093496569e+00	1.569027574257903446e+01	7.698747264446698324e+00
5.520000000000000000e+02	1.292646747671470475e+00	1.565749897813059022e+01	7.688516831718368749e+00
5.550000000000000000e+02	1.294265383890010002e+00	1.559594192987405137e+01	7.674632634148886190e+00
5.580000000000000000e+02	1.294218591724082046e+00	1.562592368405643484e+01	7.676168750747176972e+00
5.610000000000000000e+02	1.290597890902389633e+00	1.563281692516040167e+01	7.686111144815494178e+00
5.640000000000000000e+02	1.296976747945643993e+00	1.553554074808773677e+01	7.638634969745520920e+00
5.670000000000000000e+02	1.303697676975900777e+00	1.538573775149072809e+01	7.562368510325460313e+00
5.700000000000000000e+02	1.303504817698407425e+00	1.543934273274933489e+01	7.569109545622648483e+00
5.730000000000000000e+02	1.302500910304096093e+00	1.548054213249891653e+01	7.595677923846408497e+00
5.760000000000000000e+02	1.301075274892797839e+00	1.553177289693084084e+01	7.618641185013872885e+00
5.790000000000000000e+02	1.294602286529973556e+00	1.554302047144641108e+01	7.627873451014107964e+00
5.820000000000000000e+02	1.289413141109787553e+00	1.548546184246110435e+01	7.580161239333463641e+00
5.850000000000000000e+02	1.285834863179532661e+00	1.548876062104804419e+01	7.575012041475169156e+00
5.880000000000000000e+02	1.292541400455982536e+00	1.562340781430780012e+01	7.624558886189497287e+00
5.910000000000000000e+02	1.289425039836126441e+00	1.552152256032847077e+01	7.574492863381185437e+00
5.940000000000000000e+02	1.280403388864952641e+00	1.561907139736509720e+01	7.633409165838781263e+00
5.970000000000000000e+02	1.284279957610837242e+00	1.555621189224105194e+01	7.607493766738073759e+00
6.000000000000000000e+02	1.279934481429488846e+00	1.554995087585837155e+01	7.604787785988989413e+00
6.030000000000000000e+02	1.282174163061961414e+00	1.553687266033333358e+01	7.585309259723038267e+00
6.060000000000000000e+02	1.270167125827577514e+00	1.566822868244164191e+01	7.608044074903239640e+00
6.090000000000000000e+02	1.266509191857307703e+00	1.561128727404235228e+01	7.574679102978879364e+00
6.120000000000000000e+02	1.264397397469102513e+00	1.559781787871220615e+01	7.576013057633039338e+00
6.150000000000000000e+02	1.262787821989031167e+00	1.546924361090773026e+01	7.524453274521807344e+00
6.180000000000000000e+02	1.259067698633496768e+00	1.553909018280695697e+01	7.567368231346468299e+00
6.210000000000000000e+02	1.266128609367890290e+00	1.539576928592589056e+01	7.503761221593919117e+00
6.240000000000000000e+02	1.262108798260869191e+00	1.547829849987939355e+01	7.544383384471831988e+00
6.270000000000000000e+02	1.276994736780006079e+00	1.537611492834554205e+01	7.497596336585679921e+00
6.300000000000000000e+02	1.269557188616158516e+00	1.535589558811452093e+01	7.483343665671095657e+00
6.330000000000000000e+02	1.278390627189312623e+00	1.528033133324066384e+01	7.474657457430884833e+00
6.360000000000000000e+02	1.281257967030730027e+00	1.538831776813514196e+01	7.534120461271838209e+00
6.390000000000000000e+02	1.281715227804036239e+00	1.542823677767066215e+01	7.524532013824755339e+00
